date,x,y,t
8/9/11 16:49,-58.486,38.541,8
8/10/11 21:52,-57.498,38.456,8
8/11/11 14:27,-56.703,38.349,8
8/13/11 22:16,-51.879,37.36,8
8/14/11 6:01,-51.346,37.241,8
8/22/11 23:34,-44.279,36.475,8
8/31/11 6:50,-44.12,36.782,8
9/12/11 12:35,-54.568,22.802,9
9/21/11 12:26,-50.288,25.797,9
9/25/11 17:04,-55.644,29.436,9
9/28/11 14:02,-79.333,30.259,9
10/1/11 8:44,-79.246,29.74,10
10/1/11 11:50,-79.246,29.732,10
10/1/11 11:50,-79.457,29.757,10
10/1/11 13:26,-79.211,29.571,10
10/2/11 19:17,-78.76,28.831,10
10/4/11 12:49,-78.977,29.265,10
10/5/11 13:45,-78.974,29.258,10
10/5/11 21:44,-79.236,29.593,10
10/6/11 12:29,-78.81,29.298,10
10/6/11 21:20,-79.821,29.39,10
10/7/11 11:19,-80.035,29.368,10
10/7/11 12:15,-80.01,29.374,10
10/7/11 14:42,-80.009,29.369,10
10/7/11 16:28,-79.991,29.397,10
10/7/11 18:17,-79.977,29.424,10
10/7/11 19:31,-79.987,29.51,10
10/7/11 20:58,-79.977,29.558,10
10/8/11 1:16,-80.22,29.626,10
10/8/11 1:59,-80.233,29.628,10
10/8/11 3:38,-80.259,29.657,10
10/8/11 6:49,-80.302,29.573,10
10/8/11 7:56,-80.317,29.572,10
10/8/11 12:03,-80.315,29.56,10
10/9/11 20:03,-80.699,29.442,10
10/10/11 0:57,-80.676,29.425,10
10/10/11 1:04,-80.344,28.938,10
10/10/11 2:57,-80.118,29.278,10
10/10/11 10:05,-79.947,28.897,10
10/11/11 1:02,-79.822,28.673,10
10/12/11 10:59,-79.797,29.039,10
10/14/11 11:47,-78.597,28.317,10
10/15/11 13:59,-79.002,28.459,10
10/16/11 13:48,-79.484,28.446,10
10/19/11 18:00,-79.284,28.253,10
10/20/11 2:57,-79.238,28.175,10
10/20/11 12:44,-79.118,28.02,10
10/21/11 0:25,-79.116,27.961,10
10/21/11 2:01,-79.112,27.824,10
10/23/11 23:41,-78.121,25.239,10
10/24/11 7:19,-77.812,25.109,10
10/29/11 20:39,-77.73,25.581,10
11/26/11 1:47,-76.703,26.532,11
12/10/11 3:36,-77.552,27.162,12
12/26/11 21:56,-78.775,26.634,12
12/7/12 10:20,-77.333,30.626,12
